# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#           t                bm_masse_c       bm_masse_actuelle   latency_alumina_mass  dissolving_alumina_mass  bath_thermal_energy_shift    mean_temperature   variance_temperature  variance_concentration_pct  variance_concentration  average_concentration_pct  average_concentration 
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    6.790000000000e+03   2.383314986737e+02   2.388552789325e+02    0.000000000000e+00     5.237802588018e-01        1.624987611709e+06      1.223072166134e+03    2.388346000251e+01       1.649053795917e-01        8.102523567429e+01       3.071924501440e+00       6.639413753195e+01  
    6.791000000000e+03   2.383404897519e+02   2.388019981116e+02    0.000000000000e+00     4.615083597193e-01        1.676194431007e+06      1.223074440243e+03    2.381313787099e+01       1.650408341696e-01        8.107248611802e+01       3.072053391369e+00       6.639664225704e+01  
    6.792000000000e+03   2.383419188951e+02   2.387487172908e+02    0.000000000000e+00     4.067983956619e-01        1.731409075266e+06      1.223076892340e+03    2.373757426393e+01       1.649901754908e-01        8.102703725899e+01       3.072085379523e+00       6.639704038625e+01  
    6.793000000000e+03   2.383368246146e+02   2.386954364700e+02    0.000000000000e+00     3.586118553356e-01        1.790081132994e+06      1.223079497982e+03    2.365757604728e+01       1.647782062965e-01        8.090178898680e+01       3.072033724626e+00       6.639562122696e+01  
    6.794000000000e+03   2.383260580431e+02   2.386421556491e+02    0.000000000000e+00     3.160976060524e-01        1.851759505360e+06      1.223082237135e+03    2.357380905789e+01       1.644265893182e-01        8.070788940613e+01       3.071909299032e+00       6.639262188682e+01  
    6.795000000000e+03   2.383103293790e+02   2.385888748283e+02    0.000000000000e+00     2.785454493156e-01        1.916067788423e+06      1.223085093083e+03    2.348683212783e+01       1.639541888007e-01        8.045495605749e+01       3.071721180710e+00       6.638824021216e+01  
    6.796000000000e+03   2.382902400880e+02   2.385355940075e+02    0.000000000000e+00     2.453539194989e-01        1.982687202029e+06      1.223088051669e+03    2.339712106349e+01       1.633774378918e-01        8.015129692345e+01       3.071477062452e+00       6.638264375866e+01  
    6.797000000000e+03   2.382663057729e+02   2.384823131866e+02    0.000000000000e+00     2.160074137529e-01        2.051344479277e+06      1.223091100757e+03    2.330508590328e+01       1.627106767919e-01        7.980410844718e+01       3.071183541945e+00       6.637597616240e+01  
    6.798000000000e+03   2.382389727855e+02   2.384290323658e+02    0.000000000000e+00     1.900595802618e-01        2.121803051711e+06      1.223094229841e+03    2.321108357725e+01       1.619664532503e-01        7.941964501835e+01       3.070846334492e+00       6.636836176761e+01  
    6.799000000000e+03   2.382086305548e+02   2.383757515449e+02    0.000000000000e+00     1.671209901296e-01        2.193856522609e+06      1.223097429755e+03    2.311542736155e+01       1.611557746290e-01        7.900336082697e+01       3.070470428875e+00       6.635990906098e+01  
    6.800000000000e+03   2.381756209293e+02   2.385397892366e+02    2.173185124889e-01     1.468497947773e-01        2.045658831885e+06      1.223090848256e+03    2.335073882754e+01       1.602883202182e-01        7.856002722739e+01       3.070060205622e+00       6.635071327433e+01  
    6.801000000000e+03   2.381684382518e+02   2.384865084158e+02    0.000000000000e+00     3.180701639641e-01        2.105437740522e+06      1.223093503053e+03    2.327412635176e+01       1.599671947826e-01        7.844562534161e+01       3.069928819857e+00       6.634871233160e+01  
    6.802000000000e+03   2.381546374809e+02   2.384332275949e+02    0.000000000000e+00     2.785901140139e-01        2.168724240110e+06      1.223096313623e+03    2.319260763652e+01       1.596043437663e-01        7.826035635568e+01       3.069764440757e+00       6.634486772740e+01  
    6.803000000000e+03   2.381355008656e+02   2.383799467741e+02    0.000000000000e+00     2.444459084371e-01        2.234838735960e+06      1.223099249786e+03    2.310728334624e+01       1.591226410211e-01        7.801357965694e+01       3.069531742901e+00       6.633953666931e+01  
    6.804000000000e+03   2.381119424593e+02   2.383266659532e+02    0.000000000000e+00     2.147234939245e-01        2.303296781871e+06      1.223102290026e+03    2.301893680224e+01       1.585393940061e-01        7.771473217034e+01       3.069242379745e+00       6.633297379332e+01  
